"","country","gender","health","happy","id","news","internet","polintr","cptppola","trstplt","trstprt","trstsci","vote","trstprl","lrscale","stfdem","stfhlth","stfedu","freehms","hmsacld","atcherp","agea","education","unemployd","partnr_educ","happy_scaled","health_centered"
"13321","HU","Female",3,8,23761,30,1,3,1,6,8,10,1,7,6,8,0,10,2,3,8,62,321,0,313,0.419327968643947,0.753992015968064
"13322","HU","Female",2,6,23773,10,5,3,3,3,3,8,1,7,5,4,2,6,2,2,5,45,710,0,NA,-0.554724130279594,-0.246007984031936
"13323","HU","Male",3,8,23790,15,1,2,2,4,3,7,1,4,0,8,8,8,4,4,9,82,321,0,NA,0.419327968643947,0.753992015968064
"13324","HU","Female",2,8,23803,60,5,3,2,8,8,8,1,8,9,9,8,8,5,5,8,24,321,0,321,0.419327968643947,-0.246007984031936
"13325","HU","Male",2,8,23814,1011,3,2,3,8,8,10,1,9,NA,5,3,3,2,3,10,47,610,0,NA,0.419327968643947,-0.246007984031936
"13326","HU","Male",2,6,23818,10,5,3,2,2,2,8,2,4,5,6,1,4,2,4,6,44,321,0,NA,-0.554724130279594,-0.246007984031936
"13327","HU","Male",3,5,23820,0,1,3,1,0,0,3,2,0,NA,1,2,NA,4,4,8,74,313,0,NA,-1.04175017974137,0.753992015968064
"13328","HU","Female",1,7,23830,NA,5,3,1,5,5,5,1,NA,5,5,5,6,3,3,10,38,313,0,313,-0.0676980808178235,-1.24600798403194
"13329","HU","Male",1,6,23838,25,4,3,3,5,5,7,1,5,7,6,5,4,2,5,8,36,710,0,NA,-0.554724130279594,-1.24600798403194
"13330","HU","Male",3,5,23840,5,3,3,1,5,5,9,1,9,8,8,6,6,2,NA,8,47,321,0,NA,-1.04175017974137,0.753992015968064
"13331","HU","Female",1,7,23847,40,5,4,1,4,3,7,2,4,5,6,5,5,2,2,7,31,610,0,620,-0.0676980808178235,-1.24600798403194
"13332","HU","Male",5,3,23855,1018,1,3,1,4,1,10,1,3,6,4,2,NA,3,5,10,61,213,0,NA,-2.01580227866491,2.75399201596806
"13333","HU","Female",3,6,23869,195,1,2,1,6,4,9,1,5,8,5,5,NA,5,5,10,76,213,0,NA,-0.554724130279594,0.753992015968064
"13334","HU","Male",1,6,23908,60,1,1,5,10,9,9,1,10,8,10,9,9,5,5,6,57,321,0,NA,-0.554724130279594,-1.24600798403194
"13335","HU","Male",2,7,23924,40,5,3,2,3,4,9,1,4,4,3,4,5,2,3,6,45,423,0,NA,-0.0676980808178235,-0.246007984031936
"13336","HU","Female",2,6,23925,30,5,3,3,7,5,5,1,6,8,5,6,8,3,2,2,48,321,0,321,-0.554724130279594,-0.246007984031936
"13337","HU","Female",1,8,23956,10,5,4,1,0,0,0,2,1,5,1,0,0,1,1,10,27,313,0,NA,0.419327968643947,-1.24600798403194
"13338","HU","Male",2,7,23960,15,NA,1,4,9,2,9,2,8,NA,2,5,4,3,2,10,57,323,0,323,-0.0676980808178235,-0.246007984031936
"13339","HU","Female",1,9,23966,60,5,1,3,10,10,10,1,10,8,9,9,9,3,2,8,42,313,0,313,0.906354018105718,-1.24600798403194
"13340","HU","Female",2,8,23980,30,4,4,1,2,2,7,1,3,5,2,1,1,NA,4,7,66,321,0,321,0.419327968643947,-0.246007984031936
"13341","HU","Female",2,7,23995,15,5,4,1,5,5,8,3,7,5,7,NA,6,NA,NA,7,18,321,0,NA,-0.0676980808178235,-0.246007984031936
"13342","HU","Female",4,6,24019,30,1,3,1,2,3,7,1,6,5,6,3,4,5,5,7,69,213,0,NA,-0.554724130279594,1.75399201596806
"13343","HU","Female",2,8,24057,15,3,2,2,2,3,8,1,6,0,3,3,3,3,3,10,67,313,0,NA,0.419327968643947,-0.246007984031936
"13344","HU","Female",2,8,24064,100,4,1,3,3,2,8,2,5,10,10,7,9,5,5,9,48,213,0,321,0.419327968643947,-0.246007984031936
"13345","HU","Female",1,6,24065,30,5,4,1,9,8,6,2,9,NA,7,9,10,5,5,10,57,321,0,213,-0.554724130279594,-1.24600798403194
"13346","HU","Male",1,8,24066,120,5,2,3,1,2,9,1,1,1,0,2,2,2,2,10,24,720,0,NA,0.419327968643947,-1.24600798403194
"13347","HU","Female",1,8,24071,20,5,2,3,5,5,8,1,6,7,6,5,3,2,2,8,47,610,0,610,0.419327968643947,-1.24600798403194
"13348","HU","Female",2,7,24074,45,5,2,3,6,6,6,1,6,8,6,6,6,4,4,5,37,313,0,321,-0.0676980808178235,-0.246007984031936
"13349","HU","Female",3,5,24078,30,1,4,1,5,5,7,1,4,6,6,7,6,2,4,2,80,213,0,NA,-1.04175017974137,0.753992015968064
"13350","HU","Female",1,10,24080,15,5,4,1,5,5,9,3,7,NA,8,8,8,2,2,7,19,313,0,NA,1.39338006756749,-1.24600798403194
"13351","HU","Male",2,8,24085,30,3,3,1,4,4,8,2,5,5,2,2,5,NA,NA,10,56,423,0,323,0.419327968643947,-0.246007984031936
"13352","HU","Female",2,4,24086,10,1,4,1,3,2,4,1,2,3,2,2,3,2,2,2,65,213,0,321,-1.52877622920314,-0.246007984031936
"13353","HU","Female",2,7,24106,866,4,3,3,8,9,9,1,6,6,8,9,7,2,2,7,46,323,0,NA,-0.0676980808178235,-0.246007984031936
"13354","HU","Female",3,7,24120,20,5,4,2,5,4,8,1,5,6,6,6,7,3,3,10,23,313,0,710,-0.0676980808178235,0.753992015968064
"13355","HU","Female",2,2,24132,0,1,4,1,3,3,5,2,0,NA,5,5,3,3,3,0,69,213,0,NA,-2.50282832812668,-0.246007984031936
"13356","HU","Male",2,8,24138,90,5,2,3,5,5,8,1,5,5,8,6,6,2,4,5,36,620,0,620,0.419327968643947,-0.246007984031936
"13357","HU","Female",3,5,24186,50,3,3,2,5,5,7,2,5,NA,4,2,5,5,5,9,61,321,0,321,-1.04175017974137,0.753992015968064
"13358","HU","Female",1,7,24196,15,5,3,3,1,1,4,1,4,3,1,4,7,2,3,8,35,321,0,321,-0.0676980808178235,-1.24600798403194
"13359","HU","Female",4,10,24213,0,2,4,NA,0,0,9,1,NA,NA,NA,2,2,NA,5,10,37,113,0,321,1.39338006756749,1.75399201596806
"13360","HU","Female",2,7,24215,30,5,3,1,3,3,5,1,3,7,2,2,3,1,2,10,37,321,0,321,-0.0676980808178235,-0.246007984031936
"13361","HU","Female",2,5,24221,50,4,3,1,2,4,5,2,6,NA,5,2,6,5,5,8,37,321,0,321,-1.04175017974137,-0.246007984031936
"13362","HU","Female",2,8,24227,60,5,3,1,3,3,5,1,3,10,0,0,0,2,2,8,40,610,0,423,0.419327968643947,-0.246007984031936
"13363","HU","Female",3,4,24251,180,2,1,1,3,4,10,1,0,NA,3,3,4,1,1,10,67,323,0,321,-1.52877622920314,0.753992015968064
"13364","HU","Female",3,7,24262,50,1,2,2,6,6,6,1,5,2,8,7,6,2,2,7,72,321,0,NA,-0.0676980808178235,0.753992015968064
"13365","HU","Female",3,4,24271,20,2,4,1,3,3,4,2,3,8,3,3,3,3,3,7,47,323,0,321,-1.52877622920314,0.753992015968064
"13366","HU","Female",1,7,24303,40,4,4,2,5,5,10,1,10,7,7,7,8,2,3,3,42,321,0,321,-0.0676980808178235,-1.24600798403194
"13367","HU","Female",5,4,24309,90,1,3,1,5,2,7,1,0,5,5,3,5,2,4,6,78,213,0,213,-1.52877622920314,2.75399201596806
"13368","HU","Male",1,10,24320,15,5,4,2,6,6,9,1,7,8,10,3,4,1,4,10,54,321,0,610,1.39338006756749,-1.24600798403194
"13369","HU","Female",2,8,24321,60,2,3,3,2,4,4,1,2,8,7,9,7,5,5,10,52,321,0,321,0.419327968643947,-0.246007984031936
"13370","HU","Female",3,10,24322,120,1,2,3,0,0,2,1,4,7,5,10,5,5,5,2,69,213,0,113,1.39338006756749,0.753992015968064
"13371","HU","Female",3,7,24333,100,3,2,2,6,6,9,1,6,7,7,7,6,4,5,4,78,720,0,520,-0.0676980808178235,0.753992015968064
"13372","HU","Female",1,8,24335,616,5,1,4,8,9,7,2,8,7,7,7,7,2,2,8,26,313,0,NA,0.419327968643947,-1.24600798403194
"13373","HU","Female",2,10,24346,20,4,3,3,6,7,8,1,8,5,8,9,9,3,3,10,43,313,0,313,1.39338006756749,-0.246007984031936
"13374","HU","Female",3,1,24351,781,1,4,3,9,6,4,1,3,4,10,6,5,5,5,10,69,213,0,NA,-2.98985437758845,0.753992015968064
"13375","HU","Female",2,7,24352,45,5,2,3,5,5,5,1,5,0,3,4,4,2,3,6,35,520,0,610,-0.0676980808178235,-0.246007984031936
"13376","HU","Male",3,6,24364,120,3,2,2,8,7,5,1,7,6,8,6,NA,3,4,NA,66,321,0,321,-0.554724130279594,0.753992015968064
"13377","HU","Male",2,6,24396,60,3,2,2,8,6,7,1,7,5,6,5,6,1,1,7,68,520,0,321,-0.554724130279594,-0.246007984031936
"13378","HU","Male",2,9,24403,20,4,4,2,5,5,8,2,8,5,8,6,7,1,2,8,36,213,0,NA,0.906354018105718,-0.246007984031936
"13379","HU","Female",2,8,24407,0,5,3,1,8,6,8,1,5,7,6,3,3,5,5,8,64,321,0,321,0.419327968643947,-0.246007984031936
"13380","HU","Female",2,5,24410,30,1,4,1,6,5,8,2,5,NA,5,6,6,2,3,4,36,213,0,NA,-1.04175017974137,-0.246007984031936
"13381","HU","Male",3,7,24412,15,1,4,1,0,0,7,2,0,5,4,5,4,3,3,8,63,321,0,NA,-0.0676980808178235,0.753992015968064
"13382","HU","Female",2,5,24413,40,4,4,NA,7,6,6,1,8,7,5,3,4,2,2,9,48,321,0,321,-1.04175017974137,-0.246007984031936
"13383","HU","Female",2,6,24448,45,5,2,3,4,4,5,1,5,2,4,3,4,4,4,4,57,321,0,321,-0.554724130279594,-0.246007984031936
"13384","HU","Male",3,5,24452,15,5,2,NA,NA,NA,5,1,NA,NA,NA,2,5,1,1,6,61,323,0,423,-1.04175017974137,0.753992015968064
"13385","HU","Female",1,10,24475,20,5,3,3,8,8,6,1,8,8,9,5,8,3,3,10,63,610,0,720,1.39338006756749,-1.24600798403194
"13386","HU","Male",2,6,24485,587,1,1,4,5,4,8,1,2,5,6,5,7,4,2,5,86,213,0,NA,-0.554724130279594,-0.246007984031936
"13387","HU","Female",2,7,24517,90,5,2,1,5,5,7,2,4,NA,7,8,7,2,5,4,29,213,0,321,-0.0676980808178235,-0.246007984031936
"13388","HU","Female",3,5,24534,40,2,4,1,2,2,8,1,3,NA,5,5,5,3,3,10,67,321,0,NA,-1.04175017974137,0.753992015968064
"13389","HU","Female",4,5,24549,10,3,4,1,5,5,9,1,8,7,7,2,4,3,5,9,47,213,0,NA,-1.04175017974137,1.75399201596806
"13390","HU","Female",2,6,24569,40,5,2,1,9,8,5,1,7,8,10,5,6,4,5,10,47,321,0,321,-0.554724130279594,-0.246007984031936
"13391","HU","Male",4,7,24572,180,1,3,1,3,2,3,1,2,NA,2,2,2,1,3,7,77,321,0,NA,-0.0676980808178235,1.75399201596806
"13392","HU","Male",2,8,24577,30,4,4,1,0,0,6,1,2,5,0,2,1,2,3,8,47,313,0,313,0.419327968643947,-0.246007984031936
"13393","HU","Female",1,8,24583,75,5,3,1,7,5,9,1,7,8,8,8,5,2,3,10,41,323,0,321,0.419327968643947,-1.24600798403194
"13394","HU","Female",3,6,24585,30,1,3,2,8,8,6,1,8,7,9,6,NA,2,NA,3,62,321,0,NA,-0.554724130279594,0.753992015968064
